Rubrica;Expertos;Alfa;Estudiantes
R001;0.803745;0.794799;0.702232
R002;0.844132;0.796074;0.707735
R003;0.855112;0.799576;0.717158
R004;0.858571;0.701048;0.723855
R005;0.89776;0.707126;0.74227
R006;0.814247;0.715592;0.745115
R007;0.819145;0.715754;0.754334
R008;0.824054;0.716307;0.759129
R009;0.824297;0.727861;0.761226
R010;0.824804;0.731497;0.762459
R011;0.836146;0.732766;0.764127
R012;0.841543;0.740185;0.769253
R013;0.852315;0.763185;0.771123
R014;0.853086;0.768614;0.788699
R015;0.861041;0.782162;0.790196
R016;0.871465;0.796691;0.790668
R017;0.874245;0.801473;0.798045
R018;0.879568;0.809332;0.798361
R019;0.896501;0.826047;0.800231
R020;0.900963;0.835242;0.817589
R021;0.901492;0.856414;0.818657
R022;0.904832;0.865474;0.833456
R023;0.912976;0.874565;0.844748
R024;0.913683;0.878402;0.873791
R025;0.934687;0.88258;0.888756
R026;0.943698;0.885408;0.894107
R027;0.95457;0.887707;0.910645
R028;0.955482;0.893524;0.912948
R029;0.960605;0.89464;0.922539
R030;0.97356;0.904712;0.926784
R031;0.974627;0.909898;0.940764
R032;0.986674;0.912962;0.94112
R033;0.993047;0.920413;0.946129
R034;0.993344;0.92224;0.959579
R035;0.99669;0.929467;0.960675
R036;0.997203;0.933163;0.960987
R037;0.997678;0.934505;0.962718
R038;0.803745;0.939517;0.962879
R039;0.844132;0.942311;0.986729
R040;0.855112;0.944858;0.990387
R041;0.858571;0.949637;0.995469
R042;0.89776;0.953205;0.702232
R043;0.814247;0.962591;0.707735
R044;0.819145;0.979839;0.717158
R045;0.824054;0.980292;0.723855
R046;0.824297;0.981189;0.74227
R047;0.824804;0.981401;0.745115
R048;0.836146;0.982069;0.754334
R049;0.841543;0.794799;0.759129
R050;0.852315;0.796074;0.761226
R051;0.853086;0.799576;0.762459
R052;0.861041;0.701048;0.764127
R053;0.871465;0.707126;0.769253
R054;0.874245;0.715592;0.771123
R055;0.879568;0.715754;0.788699
R056;0.896501;0.716307;0.790196
R057;0.900963;0.727861;0.790668
R058;0.901492;0.731497;0.798045
R059;0.904832;0.732766;0.798361
R060;0.912976;0.740185;0.800231
R061;0.913683;0.763185;0.817589
R062;0.934687;0.768614;0.818657
R063;0.943698;0.782162;0.833456
R064;0.95457;0.796691;0.844748
R065;0.955482;0.801473;0.873791
R066;0.960605;0.809332;0.888756
R067;0.97356;0.826047;0.894107
R068;0.974627;0.835242;0.910645
R069;0.986674;0.856414;0.912948
R070;0.993047;0.865474;0.922539
R071;0.993344;0.874565;0.926784
R072;0.99669;0.878402;0.940764
R073;0.997203;0.88258;0.94112
R074;0.997678;0.885408;0.946129
R075;0.803745;0.887707;0.959579
R076;0.844132;0.893524;0.960675
R077;0.855112;0.89464;0.960987
R078;0.858571;0.904712;0.962718
R079;0.89776;0.909898;0.962879
R080;0.814247;0.912962;0.986729
R081;0.819145;0.920413;0.990387
R082;0.824054;0.92224;0.995469
R083;0.824297;0.929467;0.702232
R084;0.824804;0.933163;0.707735
R085;0.836146;0.934505;0.717158
R086;0.841543;0.939517;0.723855
R087;0.852315;0.942311;0.74227
R088;0.853086;0.944858;0.745115
R089;0.861041;0.949637;0.754334
R090;0.871465;0.953205;0.759129
R091;0.874245;0.962591;0.761226
R092;0.879568;0.979839;0.762459
R093;0.896501;0.980292;0.764127
R094;0.900963;0.981189;0.769253
R095;0.901492;0.981401;0.771123
R096;0.904832;0.982069;0.788699
R097;0.912976;0.794799;0.790196
R098;0.913683;0.796074;0.790668
R099;0.934687;0.799576;0.798045
R100;0.943698;0.701048;0.798361
R101;0.95457;0.707126;0.800231
R102;0.955482;0.715592;0.817589
R103;0.960605;0.715754;0.818657
R104;0.97356;0.716307;0.833456
R105;0.974627;0.727861;0.844748
R106;0.986674;0.731497;0.873791
R107;0.993047;0.732766;0.888756
R108;0.993344;0.740185;0.894107
R109;0.99669;0.763185;0.910645
R110;0.997203;0.768614;0.912948
R111;0.997678;0.782162;0.922539
R112;0.835242;0.796691;0.926784
R113;0.856414;0.801473;0.940764
R114;0.865474;0.809332;0.94112
R115;0.874565;0.826047;0.946129
R116;0.893524;0.942311;0.959579
R117;0.89464;0.944858;0.960675
R118;0.904712;0.949637;0.960987
R119;0.909898;0.953205;0.962718
R120;0.912962;0.878402;0.962879
R121;0.920413;0.88258;0.986729
R122;0.92224;0.885408;0.990387
R123;0.929467;0.887707;0.995469
R124;0.933163;0.962591;0.981189
R125;0.934505;0.979839;0.981401
